,source,target,value
778,Dean,Hermione,4
779,Demelza,Hermione,1
780,Ron,Vaisey,5
781,Harry,Vaisey,5
782,Slytherin,Zacharias,10
783,Zacharias,two,7
784,McGonagall,Zacharias,3
785,Ginny,McGonagall,15
786,Harry,Viktor,4
787,Creevey,Hermione,3
788,Creevey,Harry,1
789,Creevey,Ron,4
790,Romilda,Ron,20
791,Romilda,Slughorn,13
792,Creevey,Romilda,1
793,Arnold,Slughorn,1
794,Arnold,Harry,9
795,Ginny,Lavender,7
796,Arnold,Romilda,1
797,Romilda,Snape,1
798,Dark,one,4
799,Romilda,one,4
800,Lavender,Slughorn,3
801,Lavender,McGonagall,5
802,Harry,Parvati,23
803,Luna,Moaning,6
804,Luna,two,13
805,Luna,Slughorn,13
806,Harry,Peeves,48
807,Ginny,Luna,6
808,Hermione,Luna,8
809,Katie,Parvati,7
810,Parvati,Slughorn,2
811,Cormac,Parvati,12
812,Luna,Ron,29
813,Luna,Rufus,9
814,Luna,Sanguini,3
815,Sanguini,Slughorn,1
816,Harry,Sanguini,16
817,Sanguini,Sanguini,6
818,Cormac,Hermione,5
819,Ron,Zacharias,4
820,Zacharias,three,1
821,Firenze,Luna,3
822,Cormac,one,8
823,Luna,second,5
824,Harry,Sybill,11
825,Slughorn,Sybill,1
826,Snape,Sybill,1
827,Draco,Luna,5
828,Argus,Draco,3
829,Argus,Malfoy,1
830,Draco,Slughorn,6
831,Luna,Malfoy,1
832,Luna,Snape,12
833,Draco,O.W.L.,1
834,Malfoy,second,25
835,Fred,Fred,1
836,Fred,two,3
837,Fred,one,9
838,Bill,one,3
839,Bill,two,6
840,Charlie,George,8
841,Charlie,Ginny,1
842,Charlie,Fleur,5
843,Percy,Weasley,33
844,Fred,Percy,5
845,Celestina,Ron,1
846,Celestina,Weasley,24
847,Celestina,Harry,15
848,Celestina,Celestina,1
849,Celestina,Ginny,3
850,Bill,Celestina,1
851,Fleur,Remus,9
852,Celestina,Remus,5
853,Bill,Remus,1
854,Arthur,Celestina,1
855,Stan,three,4
856,Dumbledore,Stan,7
857,Stan,Weasley,2
858,Celestina,Snape,3
859,Dumbledore,Lupin,15
860,Lupin,Severus,5
861,James,Lupin,10
862,James,Sirius,6
863,Arthur,Sirius,2
864,Arthur,Severus,1
865,Celestina,Draco,4
866,Celestina,Fleur,7
867,Lupin,Weasley,31
868,Fenrir,Lupin,6
869,James,Weasley,1
870,Fleur,Lupin,10
871,Snape,Stan,5
872,Kreacher,Ron,12
873,Fleur,George,5
874,George,Weasley,3
875,Lupin,Remus,11
876,Remus,Weasley,16
877,Lupin,Lupin,4
878,Bill,Lupin,32
879,Ginny,Percy,8
880,Arthur,Ginny,8
881,Arthur,Percy,2
882,Percy,Percy,4
883,Percy,Rufus,2
884,George,Molly,1
885,Molly,Percy,3
886,Lupin,Percy,4
887,George,Percy,1
888,Fudge,Percy,1
889,Gawain,Ministry,1
890,Gawain,Umbridge,4
891,Ministry,Stan,1
892,Stan,Stan,1
893,Fleur,Percy,1
894,McGonagall,Weasley,15
895,Ginny,three,5
896,McGonagall,three,5
897,Hagrid,Witherwings,6
898,Rufus,Witherwings,3
899,Ron,Witherwings,1
900,Ron,Rufus,11
901,Harry,Violet,4
902,Dumbledore,Violet,3
903,Dumbledore,Lavender,4
904,Hermione,Lavender,3
905,Lupin,Malfoy,6
906,Ministry,Ron,8
907,Charlie,Charlie,1
908,Fergus,Seamus,2
909,Fergus,Harry,3
910,Dumbledore,Neville,2
911,Fudge,Ministry,1
912,Fudge,Umbridge,5
913,Cornelius,Umbridge,6
914,Cole,Riddle,4
915,Hogwarts,Riddle,7
916,Hagrid,Riddle,4
917,Muggle,Riddle,16
918,Hogwarts,Slytherin,6
919,Gaunt,Slytherin,4
920,Muggle,Muggle,5
921,Marvolo,three,3
922,Riddle,one,11
923,Gaunt,Riddle,4
924,Ministry,Morfin,8
925,Dobby,Harry,115
926,Dobby,Ministry,1
927,Marvolo,Slughorn,6
928,Slughorn,Tom,22
929,Riddle,Slughorn,17
930,Avery,Slughorn,6
931,Hogwarts,Morfin,4
932,Hogwarts,one,8
933,Golpalott,Slughorn,9
934,Golpalott,Granger,5
935,Golpalott,Harry,5
936,Golpalott,one,2
937,Golpalott,Ron,2
938,Golpalott,Snape,6
939,Lily,Slughorn,1
940,Hogwarts,Slughorn,4
941,McGonagall,Snape,46
942,Ministry,Snape,3
943,Ministry,Ministry,2
944,Ministry,Wilkie,5
945,Malfoy,Wilkie,2
946,McGonagall,one,6
947,Crabbe,Snape,1
948,Ernie,Malfoy,13
949,Macmillan,Malfoy,3
950,Crabbe,Macmillan,2
951,Crabbe,second,5
952,Crabbe,Goyle,5
953,Malfoy,three,7
954,Ernie,two,1
955,Ernie,Neville,5
956,Dean,Ernie,5
957,Ernie,second,1
958,Dean,second,2
959,Susan,second,3
960,Harry,Susan,10
961,Harry,Wilkie,6
962,Susan,Wilkie,4
963,Wilkie,three,7
964,Susan,three,1
965,Susan,two,4
966,McGonagall,Susan,1
967,Peeves,Ron,8
968,Neville,Slytherin,1
969,Hogwarts,Ron,7
970,Seamus,three,8
971,Romilda,Romilda,2
972,Ginny,Zonko,3
973,McGonagall,Slughorn,7
974,Fred,Slughorn,1
975,George,Madam,4
976,George,Hagrid,5
977,Hagrid,Peeves,4
978,Hermione,Norris,2
979,Hermione,Peeves,4
980,Katie,Zacharias,3
981,Cormac,Lavender,6
982,Lavender,Lavender,1
983,Luna,McGonagall,10
984,Luna,Zacharias,4
985,Cadwallader,Harry,8
986,Malfoy,Rufus,5
987,Madam,one,2
988,Madam,Peeves,2
989,Peeves,one,8
990,Dobby,Dobby,26
991,Dobby,Kreacher,79
992,Dobby,Peeves,3
993,Kreacher,Peeves,2
994,Peeves,Peeves,5
995,Dobby,Ron,16
996,Peeves,two,3
997,Kreacher,Malfoy,18
998,Kreacher,two,5
999,Lavender,Luna,1
1000,Dumbledore,Sybill,10
1001,Firenze,two,4
1002,Dumbledore,Firenze,2
1003,Firenze,Sybill,4
1004,Sybill,two,1
1005,Armando,Harry,5
1006,Armando,Dumbledore,11
1007,Riddle,two,10
1008,Hokey,one,5
1009,Hokey,Hokey,3
1010,Borgin,Dumbledore,11
1011,Dumbledore,Hokey,17
1012,Harry,Hokey,33
1013,Dumbledore,Galatea,3
1014,Borgin,Galatea,4
1015,Galatea,Harry,1
1016,Hepzibah,Hokey,35
1017,Harry,Hepzibah,56
1018,Dumbledore,Hepzibah,11
1019,Hepzibah,Tom,24
1020,Burke,Hepzibah,17
1021,Burke,Burke,4
1022,Burke,Tom,7
1023,Burke,Harry,13
1024,Hepzibah,Hepzibah,3
1025,Hokey,Riddle,4
1026,Hepzibah,one,8
1027,Tom,one,7
1028,Tom,two,3
1029,Hokey,Morfin,10
1030,Hepzibah,two,8
1031,Borgin,two,4
1032,Borgin,Hepzibah,3
1033,Hokey,two,2
1034,Hokey,Slughorn,4
1035,Hogwarts,Tom,4
1036,Cho,Lavender,5
