,source,target,value
627,Warrington,Warrington,3
628,Angelina,Warrington,6
629,Angelina,Angelina,8
630,Angelina,Marcus,6
631,George,Warrington,2
632,Montague,Warrington,1
633,Flint,Fred,7
634,Alicia,Lee,5
635,Alicia,Alicia,2
636,Flint,Lee,6
637,Katie,Slytherin,3
638,Katie,Montague,16
639,Harry,Montague,3
640,Derrick,Harry,11
641,Derrick,second,1
642,Bole,Harry,6
643,Bole,Bole,4
644,Bole,Derrick,3
645,Derrick,Lee,3
646,Bole,Lee,1
647,Angelina,Lee,3
648,Angelina,Flint,4
649,Lee,McGonagall,7
650,Katie,Malfoy,1
651,Derrick,Katie,1
652,Derrick,Fred,5
653,Derrick,George,3
654,Bole,Fred,2
655,Angelina,Bole,3
656,Montague,Slytherin,5
657,Lee,Montague,6
658,Angelina,Malfoy,5
659,Angelina,twenty,3
660,Harry,twenty,3
661,Bole,Malfoy,10
662,Alicia,two,2
663,Buckbeak,Percy,4
664,Hermione,Wood,1
665,Dumbledore,Wood,2
666,Hogwarts,Percy,3
667,George,Hogwarts,1
668,Hagrid,Hedwig,4
669,Florean,second,2
670,Florean,Snape,1
671,Florean,Lupin,1
672,Cornelius,Hermione,7
673,Fudge,two,4
674,Albus,Hermione,4
675,Albus,Cornelius,2
676,Hermione,Scabbers,3
677,Black,Ron,9
678,Black,two,1
679,Sirius,two,3
680,Peter,Scabbers,5
681,Remus,Ron,6
682,Lupin,Peter,72
683,Lupin,Ministry,3
684,Ministry,three,5
685,Remus,three,5
686,Lupin,Remus,22
687,Lupin,Scabbers,3
688,Peter,three,5
689,James,Peter,16
690,James,three,4
691,Ministry,one,1
692,Ministry,Peter,3
693,Peter,Remus,4
694,Remus,Scabbers,4
695,Peter,Wormtail,5
696,James,Wormtail,5
697,Dumbledore,Sirius,18
698,Dumbledore,Hogwarts,5
699,Hogwarts,Sirius,4
700,James,Snape,5
701,James,James,1
702,Scabbers,Snape,2
703,Black,Snape,7
704,Black,Severus,4
705,Ron,Severus,4
706,Sirius,one,1
707,Fudge,Lupin,2
708,James,Ron,3
709,Peter,Sirius,8
710,Peter,Peter,3
711,Scabbers,two,2
712,Lily,Peter,8
713,James,Remus,10
714,Harry,Remus,10
715,Peter,two,5
716,Lily,Lupin,4
717,Crookshanks,Sirius,6
718,Granger,Weasley,3
719,Cornelius,Snape,8
720,Fudge,Snape,41
721,Dumbledore,Poppy,6
722,Peter,Snape,8
723,Severus,Sirius,2
724,Buckbeak,Dumbledore,18
725,Buckbeak,Buckbeak,8
726,Buckbeak,Fudge,2
727,Buckbeak,Sirius,12
728,Buckbeak,Snape,2
729,Hagrid,Snape,4
730,Buckbeak,Wormtail,2
731,Wormtail,three,2
732,Fudge,Hermione,1
733,Fudge,Severus,2
734,Dumbledore,Remus,5
735,Percy,Sirius,5
736,Penelope,Sirius,8
737,Sirius,Sirius,1
