,source,target,value
712,Harry,Lachlan,2
713,Hagrid,Umbridge,149
714,one,three,27
715,Harry,Katie,36
716,Oliver,Ron,5
717,Katie,Oliver,5
718,Katie,Ron,22
719,Harry,Wood,8
720,Ron,Wood,10
721,Ron,Vicky,7
722,Lee,Umbridge,12
723,Sirius,Umbridge,53
724,Hagrid,Sirius,25
725,Hagrid,Paracelsus,1
726,Hagrid,Peeves,1
727,Paracelsus,Peeves,5
728,Harry,Paracelsus,4
729,Harry,Norris,25
730,Norris,Wilfred,4
731,Harry,Wilfred,3
732,Hagrid,Hedwig,10
733,Cho,Umbridge,38
734,Cho,Norris,3
735,Lucius,Sirius,3
736,Lucius,Ron,1
737,Hermione,Sturgis,4
738,Eric,Sturgis,3
739,Eric,one,5
740,Sturgis,one,4
741,Eric,Hermione,1
742,Ron,Sturgis,30
743,Sturgis,two,4
744,Angelina,George,12
745,Angelina,Fred,45
746,Alicia,Angelina,30
747,Alicia,Fred,15
748,Fred,Slytherin,5
749,Slytherin,Weasley,16
750,Pansy,Weasley,1
751,Pansy,Ron,5
752,Angelina,Pansy,7
753,Alicia,Ron,24
754,Alicia,Malfoy,1
755,Alicia,Harry,37
756,Fred,Malfoy,9
757,Katie,Slytherin,1
758,Angelina,Katie,50
759,Fred,Katie,13
760,Angelina,two,5
761,Angelina,one,11
762,Katie,Katie,11
763,Katie,second,6
764,Angelina,Angelina,5
765,Alicia,Katie,50
766,George,Katie,13
767,Hermione,Katie,6
768,Hermes,Ron,12
769,Hermes,Hermes,2
770,Crookshanks,three,6
771,Crookshanks,Harry,5
772,Percy,Umbridge,7
773,Percy,second,7
774,Hermione,Molly,2
775,Cho,Sirius,9
776,Hermione,Remus,6
777,Fudge,Kreacher,1
778,Dumbledore,Luna,6
779,Fudge,Hermione,13
780,Fudge,Luna,5
781,Kreacher,Percy,5
782,Dumbledore,three,24
783,Hagrid,three,20
784,James,Sirius,33
785,James,Kreacher,3
786,Dolores,Percy,6
787,Dolores,Fudge,4
788,Dolores,Weasley,2
789,Dolores,Hogwarts,4
790,Umbridge,Weasley,21
791,Hogwarts,Ministry,14
792,Dumbledore,Lucius,12
793,Lucius,Remus,1
794,Remus,Rubeus,5
795,Dumbledore,Remus,5
796,Albus,Rubeus,3
797,Albus,Remus,1
798,Albus,Hogwarts,4
799,Hogwarts,Rubeus,1
800,Madam,Ministry,1
801,Albus,Ministry,5
802,Albus,Madam,3
803,Madam,two,4
804,Malfoy,Snape,37
805,Hermione,O.W.L.,5
806,Fred,O.W.L.,1
807,George,O.W.L.,3
808,Alicia,George,5
809,Cassandra,Umbridge,2
810,Cassandra,second,5
811,second,three,9
812,Angelina,McGonagall,9
813,George,McGonagall,12
814,Cornelius,Hermione,6
815,Cornelius,McGonagall,12
816,Finnigan,McGonagall,1
817,Dumbledore,Finnigan,1
818,Finnigan,Umbridge,8
819,McGonagall,Seamus,4
820,Dean,McGonagall,6
821,Lavender,McGonagall,2
822,Hagrid,Ministry,4
823,Goyle,Malfoy,33
824,Goyle,Ministry,1
825,Ministry,Umbridge,21
826,Dean,Hagrid,2
827,Dean,Dumbledore,9
828,Dumbledore,O.W.L.,1
829,O.W.L.,Umbridge,7
830,Goyle,Umbridge,2
831,Goyle,Goyle,3
832,Malfoy,Umbridge,55
833,Goyle,Hermione,2
834,Riddle,Ron,5
835,Fawkes,Ron,5
836,Fawkes,Riddle,3
837,Fawkes,Harry,20
838,Diggory,two,6
839,Diggory,Ron,11
840,Diggory,Hermione,6
841,three,three,4
842,Harry,Viktor,4
843,Ron,Viktor,12
844,Vicky,Viktor,1
845,Harry,Vicky,3
846,Draco,Kreacher,1
847,Dumbledore,Mark,1
848,Mark,one,6
849,Mark,Sirius,4
850,Fred,Zonko,9
851,Lee,three,7
852,Neville,two,47
853,Dean,Lavender,5
854,Katie,Luna,6
855,Angelina,Colin,6
856,Colin,Ernie,6
857,Ernie,Justin,12
858,Hannah,Justin,6
859,Hannah,Harry,8
860,Anthony,three,6
861,Anthony,Michael,6
862,Michael,Terry,6
863,Ginny,Terry,6
864,Zonko,three,6
865,Hannah,three,2
866,Harry,Zonko,6
867,Anthony,Harry,8
868,Anthony,Umbridge,5
869,Anthony,O.W.L.,5
870,Michael,O.W.L.,5
871,Cho,Terry,6
872,Padma,Terry,6
873,Neville,Padma,1
874,Harry,Padma,5
875,Ron,Zacharias,25
876,Harry,Zacharias,56
877,Dumbledore,Zacharias,3
878,Diggory,Zacharias,1
879,Diggory,Hogwarts,8
880,Cedric,Zacharias,5
881,Cedric,Hogwarts,1
882,Cedric,Diggory,3
883,Diggory,Harry,9
884,Hermione,Zacharias,9
885,Bones,Harry,3
886,Bones,Susan,1
887,Dumbledore,Terry,6
888,Harry,Terry,7
889,Creevey,Harry,1
890,Creevey,Lavender,5
891,Justin,Terry,1
892,Justin,Lavender,1
893,Harry,Justin,3
894,Creevey,Justin,4
895,Cho,Michael,3
896,Harry,Michael,6
897,Susan,Zacharias,1
898,Fred,Zacharias,2
899,Zonko,one,5
900,George,Zacharias,7
901,George,Zonko,1
902,Angelina,Cho,5
903,Cho,Zacharias,7
904,Ernie,Zacharias,4
905,Luna,Luna,12
906,Ginny,Umbridge,52
907,Luna,Umbridge,11
908,Angelina,Lee,22
909,Dean,Ron,24
910,Ernie,George,6
911,Cho,Hermione,23
912,Cho,Lee,3
913,Hannah,Michael,9
914,Ginny,Michael,35
915,Michael,Scrivenshaft,5
916,Michael,Ron,27
917,Ron,Scrivenshaft,1
918,Harry,Scrivenshaft,4
919,Cho,Ginny,29
920,Michael,Michael,10
921,Angelina,Argus,5
922,Argus,three,2
923,Argus,Umbridge,1
924,Umbridge,Zacharias,4
925,Hermione,Michael,5
926,Michael,Zacharias,1
927,Hannah,Ron,10
928,Harry,Professor,5
929,Jim,one,5
930,Jim,McGonagall,2
931,McGonagall,second,2
932,Hedwig,McGonagall,10
933,Hagrid,McGonagall,3
