,letter,character
965,J,Bertha Jorkins
966,J,Granville Jorkins
967,J,Grimwold Jorkins
968,J,Griselda Harmonia Jorkins
969,J,Primrose Jorkins
970,J,Stamford Jorkins
971,J,José Barboza
972,J,Joscelind Wadcock
973,J,Josefina Calderon
974,J,Josef Wronski
975,J,Josephina Flint
976,J,Joseph Snuka
977,J,Joshua Sankara
978,J,Josiah Plunkett
979,J,Jugson
980,J,Herman Junker
981,J,Justin Finch-Fletchley
982,J,Justus Pilliwickle
983,K,Laurena Kama
984,K,Igor Karkaroff
985,K,Karkus
986,K,Karl Jenkins
987,K,Karl and Kevin Broadmoor
988,K,Karl Wang
989,K,Katie Bell
990,K,Roland Kegg
991,K,Kendra Dumbledore
992,K,Kenneth Towler
993,K,Kennilworthy Whisp
994,K,Silvanus Kettleburn
995,K,Kevin
996,K,Kevin Entwhistle
997,K,Kevin Hopwood
998,K,Kevin's parents
999,K,Kevin Whitby
1000,K,Aidan Kiely
1001,K,King Arthur
1002,K,King George III
1003,K,King Henry VI
1004,K,Kingsley Shacklebolt
1005,K,King William I
1006,K,Andrew Kirke
1007,K,Kirley Duke
1008,K,Porteus Knatchbull
1009,K,Irene Kneedander
1010,K,Jacob Kowalski
1011,K,Quentin Kowalski
1012,K,Kquewanda Bailey
1013,K,Krafft
1014,K,Krall
1015,K,Kreacher
1016,K,Sigrid Kristoffersen
1017,K,Mrs. Krum
1018,K,Mr. Krum
1019,K,Viktor Krum
1020,K,Kimiko Kurosawa
1021,L,Lachlan the Lanky
1022,L,Ladislaw Zamojski
1023,L,Lady Carmilla Sanguina
1024,L,Lady Grieve
1025,L,Fifi LaFolle
1026,L,Stubby Lamont
1027,L,Lamont family
1028,L,Hector Lamont
1029,L,Lancelot
1030,L,Landislaw Zamojski
1031,L,landlady of the Green Dragon
1032,L,landlord of The Hanged Man
1033,L,Langdon Shaw
1034,L,Laura Madley
1035,L,Laurena Kama
1036,L,Laurentia Fletwock
1037,L,Lavender Brown
1038,L,Laverne de Montmorency
1039,L,Artemius Lawson
1040,L,Nobby Leach
1041,L,Leanne
1042,L,Lee Jordan
